City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
156,Khazar,RU,62.96,scattered clouds,41.9974,48.3332,
157,Port Lincoln,AU,60.24,broken clouds,-34.7333,135.8667,
158,Sao Luis,BR,89.8,scattered clouds,-2.5297,-44.3028,
159,Bad Wurzach,DE,32.45,light snow,47.9,9.9,
160,Tunceli,TR,55.36,broken clouds,39.1083,39.5471,
161,Torbay,CA,43.57,broken clouds,47.6666,-52.7314,
162,Athabasca,CA,32.41,overcast clouds,54.7169,-113.2854,
163,The Valley,AI,81.1,broken clouds,18.217,-63.0578,
164,Kodiak,US,31.51,broken clouds,57.79,-152.4072,
165,Nalut,LY,79.84,clear sky,30.3333,10.85,
166,Husavik,IS,37.78,overcast clouds,66.0449,-17.3389,
167,Kahului,US,72.84,scattered clouds,20.8947,-156.47,
168,Boone,US,60.39,broken clouds,39.0334,-92.3335,
169,Bumba,CD,74.61,light rain,2.1833,22.4667,
171,Paamiut,GL,34.36,overcast clouds,61.994,-49.6678,
172,Capao Da Canoa,BR,71.11,few clouds,-29.7456,-50.0097,
173,Springfield,US,57.97,overcast clouds,37.2153,-93.2982,
174,Arnoldstein,AT,40.86,overcast clouds,46.5461,13.71,
175,Palmer,US,49.57,few clouds,42.1584,-72.3287,
176,Monzon,ES,54.75,clear sky,41.9108,0.1941,
177,Novo Aripuana,BR,74.75,overcast clouds,-5.1206,-60.3797,
178,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
179,Eirunepe,BR,75.83,overcast clouds,-6.6603,-69.8736,
180,Ilulissat,GL,35.62,few clouds,69.2167,-51.1,
181,Sorland,NO,33.89,light snow,67.667,12.6934,
182,Necochea,AR,68.32,clear sky,-38.5473,-58.7368,
183,Muriwai Beach,NZ,63.86,overcast clouds,-36.8167,174.45,
185,Banda Aceh,ID,80.08,moderate rain,5.5577,95.3222,
186,Kavieng,PG,76.57,moderate rain,-2.5744,150.7967,
187,Sambava,MG,77.9,light rain,-14.2667,50.1667,
