City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Port Hardy,CA,2022-03-31 18:57:41,50.6996,-127.4199,46.58,76,75,4.61
224,Tual,ID,2022-03-31 18:58:42,-5.6667,132.75,82.53,68,100,2.93
225,Denpasar,ID,2022-03-31 18:58:42,-8.65,115.2167,80.26,88,40,5.75
226,Barra Do Bugres,BR,2022-03-31 18:58:42,-15.0725,-57.1811,61.25,90,100,7.34
227,Maridi,SS,2022-03-31 18:58:43,4.9158,29.4742,78.15,49,14,4.59
228,Saldanha,ZA,2022-03-31 18:58:43,-33.0117,17.9442,60.85,76,0,23.96
229,Kanker,IN,2022-03-31 18:58:43,20.2719,81.4931,79.32,15,5,5.26
230,Dormidontovka,RU,2022-03-31 18:58:44,47.7702,134.9076,14.77,92,10,8.86
231,Prince Rupert,CA,2022-03-31 18:58:44,54.3161,-130.3201,42.89,81,75,9.22
232,Vrangel,RU,2022-03-31 18:58:45,42.7297,133.0839,33.49,60,0,10.65
233,Keta,GH,2022-03-31 18:58:45,5.9179,0.9879,86.22,81,98,14.67
234,Lagoa,PT,2022-03-31 18:58:45,39.05,-27.9833,61.75,86,100,7.65
235,Maldonado,UY,2022-03-31 18:58:46,-34.6667,-54.9167,61.23,58,92,13.06
236,Jacareacanga,BR,2022-03-31 18:58:46,-6.2222,-57.7528,79.59,78,92,2.15
237,Palmer,US,2022-03-31 18:58:46,42.1584,-72.3287,62.85,92,100,0.0
238,Benghazi,LY,2022-03-31 18:58:47,32.1167,20.0667,78.1,21,86,24.54
239,Mayya,RU,2022-03-31 18:58:47,61.7333,130.2811,-5.69,100,99,2.75
240,Pisco,PE,2022-03-31 18:58:47,-13.7,-76.2167,74.01,60,0,12.66
241,Buritizeiro,BR,2022-03-31 18:58:48,-17.3511,-44.9622,94.01,27,16,3.24
242,San Patricio,US,2022-03-31 18:58:48,28.017,-97.5169,83.16,28,5,4.59
243,Qaqortoq,GL,2022-03-31 18:58:48,60.7167,-46.0333,37.62,79,100,3.94
244,Fort Nelson,CA,2022-03-31 18:58:49,58.8053,-122.7002,22.59,74,100,9.22
245,Shaunavon,CA,2022-03-31 18:58:49,49.6501,-108.4181,38.98,40,95,24.34
246,Puerto Leguizamo,CO,2022-03-31 18:58:49,-0.1934,-74.7819,85.51,66,52,2.04
247,Malm,NO,2022-03-31 18:58:49,64.0721,11.2172,32.79,83,100,1.79
248,Iracoubo,GF,2022-03-31 18:58:50,5.4802,-53.2011,80.58,71,95,10.63
249,Jaciara,BR,2022-03-31 18:58:50,-15.9653,-54.9683,69.69,87,100,8.25
250,Gizo,SB,2022-03-31 18:58:51,-8.103,156.8419,83.46,74,100,9.22
251,Provideniya,RU,2022-03-31 18:58:51,64.3833,-173.3,19.54,80,100,19.35
252,Ponta Do Sol,PT,2022-03-31 18:58:51,32.6667,-17.1,64.71,79,58,4.97
253,Nueve De Julio,AR,2022-03-31 18:58:51,-35.4444,-60.8831,64.53,31,0,5.77
254,Saint Paul,US,2022-03-31 18:56:53,44.9444,-93.0933,34.88,70,100,12.66
255,Lompoc,US,2022-03-31 18:58:52,34.6391,-120.4579,65.12,72,40,14.97
256,Lerik,AZ,2022-03-31 18:58:52,38.7726,48.4128,37.04,67,0,4.16
257,San Cristobal,VE,2022-03-31 18:58:53,7.7669,-72.225,75.38,43,92,6.58
258,Lanigan,CA,2022-03-31 18:58:53,51.8501,-105.0344,42.69,89,100,15.86
259,Pevek,RU,2022-03-31 18:58:53,69.7008,170.3133,-24.25,99,23,5.1
260,Taoudenni,ML,2022-03-31 18:58:54,22.6783,-3.9836,85.37,9,100,6.62
261,Cabo San Lucas,MX,2022-03-31 18:55:52,22.8909,-109.9124,81.7,50,81,5.01
262,Bonthe,SL,2022-03-31 18:58:54,7.5264,-12.505,81.21,80,71,11.63
263,Talcahuano,CL,2022-03-31 18:58:54,-36.7167,-73.1167,59.47,59,5,14.0
264,Port Lincoln,AU,2022-03-31 18:58:55,-34.7333,135.8667,59.95,68,24,22.88
265,Outlook,CA,2022-03-31 18:58:55,51.5001,-107.0513,39.24,87,100,21.43
266,Picton,AU,2022-03-31 18:58:55,-34.1833,150.6,56.75,81,100,9.06
267,Shirokiy,RU,2022-03-31 18:58:56,49.758,129.523,11.64,92,98,5.37
268,San-Pedro,CI,2022-03-31 18:58:56,4.7485,-6.6363,81.21,84,99,8.48
269,Manjacaze,MZ,2022-03-31 18:58:56,-24.7117,33.8828,73.24,87,0,5.37
270,Nigde,TR,2022-03-31 18:58:57,37.8333,34.75,42.85,66,98,6.29
271,Hwange,ZW,2022-03-31 18:59:57,-18.3693,26.5019,73.15,65,96,2.42
272,Ileza,RU,2022-03-31 18:59:57,61.0533,43.9002,20.93,97,100,5.01
273,Birao,CF,2022-03-31 18:59:58,10.2849,22.7882,84.65,11,87,6.04
274,Linqiong,CN,2022-03-31 18:59:58,30.4159,103.4609,51.62,90,100,3.94
275,Lahaina,US,2022-03-31 18:59:40,20.8783,-156.6825,77.95,84,2,10.33
276,Manaus,BR,2022-03-31 18:59:58,-3.1019,-60.025,84.7,83,40,3.44
277,Mogadishu,SO,2022-03-31 18:59:59,2.0371,45.3438,81.77,83,33,16.91
278,Faya,SA,2022-03-31 18:59:59,18.3851,42.4509,64.51,31,0,8.99
279,Puerto Gaitan,CO,2022-03-31 18:59:59,4.3133,-72.0816,95.0,32,45,8.28
280,Gazli,UZ,2022-03-31 19:00:00,40.1333,63.45,60.22,38,61,9.8
281,Alofi,NU,2022-03-31 19:00:01,-19.0595,-169.9187,81.23,74,92,11.36
282,Loubomo,CG,2022-03-31 19:00:01,-4.1997,12.6739,76.21,88,88,4.18
283,Shelburne,CA,2022-03-31 19:00:03,44.0787,-80.2041,55.76,81,56,26.37
284,Aloja,LV,2022-03-31 19:00:04,57.7669,24.8825,26.4,74,6,3.74
285,Arman,RU,2022-03-31 19:00:05,59.7,150.1667,1.74,83,46,9.04
286,Vestmannaeyjar,IS,2022-03-31 19:00:06,63.4427,-20.2734,40.53,67,100,8.66
287,Ancud,CL,2022-03-31 19:00:08,-41.8697,-73.8203,60.22,62,100,3.71
288,Itaituba,BR,2022-03-31 19:00:09,-4.2761,-55.9836,75.61,87,100,1.83
289,Umm Kaddadah,SD,2022-03-31 19:00:11,13.6017,26.6876,80.31,9,31,11.21
290,Egvekinot,RU,2022-03-31 19:00:12,66.3167,-179.1667,3.63,87,100,18.07
291,Biloela,AU,2022-03-31 19:00:13,-24.4167,150.5,68.81,80,17,7.09
292,Fukue,JP,2022-03-31 19:00:13,32.6881,128.8419,55.36,73,100,29.46
293,Srednekolymsk,RU,2022-03-31 19:00:14,67.45,153.6833,-11.74,100,96,1.5
294,Pishin,PK,2022-03-31 19:00:15,30.5803,66.9961,61.86,16,0,2.8
