City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
158,Sao Luis,BR,2022-04-02 16:43:27,-2.5297,-44.3028,89.8,66,40,9.22,scattered clouds
159,Bad Wurzach,DE,2022-04-02 16:43:28,47.9,9.9,32.45,73,100,9.26,light snow
160,Tunceli,TR,2022-04-02 16:43:28,39.1083,39.5471,55.36,64,55,5.26,broken clouds
161,Torbay,CA,2022-04-02 16:42:51,47.6666,-52.7314,43.57,93,75,20.71,broken clouds
162,Athabasca,CA,2022-04-02 16:43:28,54.7169,-113.2854,32.41,76,100,4.45,overcast clouds
163,The Valley,AI,2022-04-02 16:43:29,18.217,-63.0578,81.1,83,75,13.8,broken clouds
164,Kodiak,US,2022-04-02 16:43:29,57.79,-152.4072,31.51,93,75,3.44,broken clouds
165,Nalut,LY,2022-04-02 16:42:56,30.3333,10.85,79.84,10,0,6.96,clear sky
166,Husavik,IS,2022-04-02 16:43:29,66.0449,-17.3389,37.78,95,100,3.94,overcast clouds
167,Kahului,US,2022-04-02 16:43:30,20.8947,-156.47,72.84,80,40,16.11,scattered clouds
168,Boone,US,2022-04-02 16:43:30,39.0334,-92.3335,60.39,50,65,17.09,broken clouds
169,Bumba,CD,2022-04-02 16:43:30,2.1833,22.4667,74.61,90,84,5.08,light rain
170,Khatanga,RU,2022-04-02 16:43:31,71.9667,102.5,0.88,97,100,6.15,overcast clouds
171,Paamiut,GL,2022-04-02 16:43:31,61.994,-49.6678,34.36,85,97,1.5,overcast clouds
172,Capao Da Canoa,BR,2022-04-02 16:39:36,-29.7456,-50.0097,71.11,72,11,13.58,few clouds
173,Springfield,US,2022-04-02 16:43:32,37.2153,-93.2982,57.97,74,100,16.11,overcast clouds
174,Arnoldstein,AT,2022-04-02 16:43:32,46.5461,13.71,40.86,99,100,0.27,overcast clouds
175,Palmer,US,2022-04-02 16:43:32,42.1584,-72.3287,49.57,32,20,10.36,few clouds
176,Monzon,ES,2022-04-02 16:43:32,41.9108,0.1941,54.75,24,0,13.58,clear sky
177,Novo Aripuana,BR,2022-04-02 16:43:33,-5.1206,-60.3797,74.75,98,100,1.57,overcast clouds
178,Georgetown,MY,2022-04-02 16:43:33,5.4112,100.3354,78.73,93,20,5.01,few clouds
179,Eirunepe,BR,2022-04-02 16:43:33,-6.6603,-69.8736,75.83,66,99,2.66,overcast clouds
180,Ilulissat,GL,2022-04-02 16:43:34,69.2167,-51.1,35.62,55,20,2.3,few clouds
181,Sorland,NO,2022-04-02 16:43:34,67.667,12.6934,33.89,56,100,20.62,light snow
182,Necochea,AR,2022-04-02 16:39:45,-38.5473,-58.7368,68.32,42,4,19.55,clear sky
183,Muriwai Beach,NZ,2022-04-02 16:44:35,-36.8167,174.45,63.86,96,100,1.68,overcast clouds
184,Filingue,NE,2022-04-02 16:44:35,14.3521,3.3168,101.16,4,98,5.99,overcast clouds
185,Banda Aceh,ID,2022-04-02 16:44:35,5.5577,95.3222,80.08,81,99,5.19,moderate rain
186,Kavieng,PG,2022-04-02 16:44:36,-2.5744,150.7967,76.57,89,100,5.12,moderate rain
187,Sambava,MG,2022-04-02 16:44:36,-14.2667,50.1667,77.9,87,53,12.75,light rain
188,Qaanaaq,GL,2022-04-02 16:41:45,77.484,-69.3632,15.33,85,91,3.8,overcast clouds
189,Yarmouth,US,2022-04-02 16:44:36,41.7057,-70.2286,50.65,45,0,14.97,clear sky
190,Xai-Xai,MZ,2022-04-02 16:44:37,-25.0519,33.6442,77.92,74,14,13.18,few clouds
191,Khandbari,NP,2022-04-02 16:44:37,27.3747,87.2039,69.69,84,91,3.11,light rain
192,Luangwa,ZM,2022-04-02 16:44:37,-15.6167,30.4167,76.05,75,46,2.48,light rain
193,Petropavlovsk-Kamchatskiy,RU,2022-04-02 16:43:39,53.0452,158.6483,21.79,68,75,6.71,broken clouds
194,Nome,US,2022-04-02 16:41:17,64.5011,-165.4064,12.27,57,0,12.66,clear sky
195,Zaysan,KZ,2022-04-02 16:44:38,47.4667,84.8667,41.86,61,31,2.59,scattered clouds
196,Cabo San Lucas,MX,2022-04-02 16:43:39,22.8909,-109.9124,77.61,54,43,4.0,scattered clouds
197,Saskylakh,RU,2022-04-02 16:44:38,71.9167,114.0833,1.58,97,99,10.07,overcast clouds
198,Nanortalik,GL,2022-04-02 16:44:39,60.1432,-45.2371,38.17,86,100,9.44,light rain
199,Dawlatabad,AF,2022-04-02 16:44:39,36.4141,64.9053,65.48,25,0,5.88,clear sky
200,Khash,IR,2022-04-02 16:44:39,28.2211,61.2158,68.13,15,0,6.73,clear sky
201,Gao,ML,2022-04-02 16:44:40,16.6362,1.637,103.5,2,43,8.5,scattered clouds
202,Kashi,CN,2022-04-02 16:44:40,39.4547,75.9797,63.61,29,75,4.47,broken clouds
203,Los Llanos De Aridane,ES,2022-04-02 16:44:07,28.6585,-17.9182,62.35,77,75,6.91,broken clouds
204,Pleasant Point,NZ,2022-04-02 16:44:40,-44.2667,171.1333,48.06,93,79,3.27,broken clouds
205,Mitu,CO,2022-04-02 16:44:41,1.1983,-70.1733,77.22,91,92,5.35,overcast clouds
206,Iqaluit,CA,2022-04-02 16:44:41,63.7506,-68.5145,26.33,79,100,10.36,overcast clouds
207,Cervo,ES,2022-04-02 16:44:41,43.6702,-7.4101,48.87,58,13,9.71,few clouds
208,Ketchikan,US,2022-04-02 16:43:38,55.3422,-131.6461,39.67,93,100,18.41,moderate rain
209,Dicabisagan,PH,2022-04-02 16:44:42,17.0818,122.4157,76.57,83,100,3.27,light rain
210,Wuan,CN,2022-04-02 16:44:42,31.6836,112.0044,53.22,64,0,2.28,clear sky
211,Chapais,CA,2022-04-02 16:44:43,49.7834,-74.8492,26.38,79,99,9.8,overcast clouds
212,Nhulunbuy,AU,2022-04-02 16:44:43,-12.2333,136.7667,75.81,88,98,0.0,overcast clouds
213,Haines Junction,CA,2022-04-02 16:41:42,60.7522,-137.5108,19.35,73,88,4.61,overcast clouds
214,Zhigansk,RU,2022-04-02 16:42:53,66.7697,123.3711,-3.75,100,76,1.54,broken clouds
215,Beisfjord,NO,2022-04-02 16:44:43,68.3751,17.5988,30.25,94,100,7.78,light snow
216,Vitoria Da Conquista,BR,2022-04-02 16:42:55,-14.8661,-40.8394,83.17,40,25,10.27,scattered clouds
217,Fundacion,CO,2022-04-02 16:44:44,10.5207,-74.185,94.1,46,45,5.5,scattered clouds
218,Westport,US,2022-04-02 16:40:13,41.1415,-73.3579,50.86,44,0,8.05,clear sky
219,Fairbanks,US,2022-04-02 16:44:44,64.8378,-147.7164,14.34,51,100,8.05,overcast clouds
220,Fiumicino,IT,2022-04-02 16:44:45,41.7675,12.2291,49.98,66,75,20.71,broken clouds
221,Longyearbyen,SJ,2022-04-02 16:41:46,78.2186,15.6401,1.24,60,20,10.36,few clouds
222,Raga,SS,2022-04-02 16:44:45,8.4596,25.678,91.78,14,73,3.02,broken clouds
223,Ayagoz,KZ,2022-04-02 16:44:46,47.9714,80.4392,33.17,84,15,5.61,few clouds
224,Norman Wells,CA,2022-04-02 16:44:46,65.282,-126.8329,-23.76,62,20,2.3,few clouds
225,Yeppoon,AU,2022-04-02 16:44:46,-23.1333,150.7333,71.38,73,0,13.87,clear sky
226,Vagay,RU,2022-04-02 16:45:46,57.9375,69.0217,27.03,96,100,6.22,overcast clouds
227,Chokurdakh,RU,2022-04-02 16:45:47,70.6333,147.9167,-5.3,93,100,5.64,overcast clouds
228,Christchurch,NZ,2022-04-02 16:45:47,-43.5333,172.6333,57.94,90,100,4.61,overcast clouds
229,La Baule-Escoublac,FR,2022-04-02 16:45:47,47.2922,-2.364,47.71,71,0,14.97,clear sky
230,Moron,AR,2022-04-02 16:43:39,-34.6534,-58.6198,70.95,56,0,10.2,clear sky
231,Saint-Philippe,RE,2022-04-02 16:44:12,-21.3585,55.7679,74.79,97,100,21.16,very heavy rain
232,Saint-Leu,RE,2022-04-02 16:45:48,-21.15,55.2833,74.26,91,100,6.78,heavy intensity rain
233,Nuuk,GL,2022-04-02 16:41:17,64.1835,-51.7216,38.01,70,75,6.91,broken clouds
234,Alhandra,BR,2022-04-02 16:45:49,-7.4386,-34.9144,88.02,57,38,12.3,scattered clouds
235,Nassjo,SE,2022-04-02 16:45:49,57.6531,14.6968,36.52,45,37,4.63,scattered clouds
236,Cerignola,IT,2022-04-02 16:45:49,41.264,15.9005,49.57,77,92,12.8,overcast clouds
237,Borskoye,RU,2022-04-02 16:45:49,53.0333,51.7167,45.05,87,100,8.16,overcast clouds
238,Perpignan,FR,2022-04-02 16:45:50,42.75,2.75,45.73,43,20,25.32,few clouds
239,Kaeo,NZ,2022-04-02 16:45:50,-35.1,173.7833,59.32,95,93,2.19,overcast clouds
240,Pisco,PE,2022-04-02 16:45:50,-13.7,-76.2167,70.02,68,0,6.91,clear sky
241,Puerto Escondido,MX,2022-04-02 16:44:09,15.85,-97.0667,86.59,41,66,6.82,broken clouds
242,Byron Bay,AU,2022-04-02 16:45:51,-28.65,153.6167,67.89,89,46,7.54,scattered clouds
243,Lebu,CL,2022-04-02 16:45:51,-37.6167,-73.65,59.88,91,98,6.89,overcast clouds
244,Sampit,ID,2022-04-02 16:45:51,-2.5333,112.95,75.99,95,93,2.71,overcast clouds
245,East London,ZA,2022-04-02 16:42:28,-33.0153,27.9116,63.54,100,75,3.44,broken clouds
246,Lavrentiya,RU,2022-04-02 16:45:52,65.5833,-171.0,-0.06,75,1,10.09,clear sky
247,Akhmeta,GE,2022-04-02 16:45:52,42.0311,45.2075,63.12,58,64,1.54,broken clouds
248,Atbasar,KZ,2022-04-02 16:45:53,51.8,68.3333,28.47,87,95,9.62,overcast clouds
249,Bonavista,CA,2022-04-02 16:45:53,48.6499,-53.1147,37.67,95,100,20.49,overcast clouds
250,Marsa Matruh,EG,2022-04-02 16:45:53,31.3525,27.2453,66.4,63,100,9.22,haze
251,Marystown,CA,2022-04-02 16:45:54,47.1666,-55.1483,38.86,100,100,8.01,overcast clouds
